"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1396","Validate cancel button Functionality","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","checkoutPage.spec.ts","",""
"","20711","Validate Remove Product Functionality","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","1463","Validate BackHomeButton 1","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","finalpage.spec.ts","",""
"","1607","Validate the error when clicking on continue with no data","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","checkoutPage.spec.ts","",""
"","1795","Validate checkout overview page UI and URL","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","E2E\finalpage.spec.ts","",""
"","3942","Filter By Price High to Low","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","1132","Login to SauceDemo application with valid credentials","chromium","2026-06-11","passed","2026-06-11","","login.spec.ts","",""
"","2235","Validate checkout overview page UI and URL","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","checkoutoverview.spec.ts","",""
"","1465","Validate Checkout Page UI Elements and Url","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","checkoutPage.spec.ts","",""
"","1719","Validate the Success Message","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","E2E\finalpage.spec.ts","",""
"","1583","Validate BackHomeButton 2","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","finalpage.spec.ts","",""
"","1631","Validate the Success Message","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","finalpage.spec.ts","",""
"","2548","Validate Specific Products added to the cart Page","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","1823","Validate adding some or specific products to cart","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","2356","Validate Logout Functionality","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","1912","Filter By Name A to Z","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","26265","Validate All Products added to the Cart Page","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","1663","Validate cance button functionality","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","checkoutoverview.spec.ts","",""
"","7413","Validate First Product in cart Page","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","1097","has title","chromium","2026-06-11","passed","2026-06-11","","example.spec.ts","",""
"","6459","Validate About page and navigate back","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","1746","Validate BackHomeButton","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","E2E\finalpage.spec.ts","",""
"","1796","Validate checkout overview page UI and URL","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","finalpage.spec.ts","",""
"","4378","Filter By Name Z to A","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","7405","Validate Continue Shopping Functionality","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","1630","get started link","chromium","2026-06-11","passed","2026-06-11","","example.spec.ts","",""
"","4357","Filter By Price Low to High","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","1589","Validate Item Total calculation","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","checkoutoverview.spec.ts","",""
"","7359","Validate cart page URL and UI Elements","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","cartPage.spec.ts","",""
"","20042","Validate Product Page","chromium","2026-06-11","passed","2026-06-11","Product Page Validation","productPage.spec.ts","",""
"","1642","Validate Final Total (Item Total + Tax)","chromium","2026-06-11","passed","2026-06-11","Checkout Overview Validation","checkoutoverview.spec.ts","",""
"","1383","Validate continue Button","chromium","2026-06-11","passed","2026-06-11","Cart Page Validation","checkoutPage.spec.ts","",""
